event_id,machine_id,machine_type,event_type,description,start_time,duration_hours,cost,labor_hours,parts_cost,root_cause,downtime_impact_hours
ME0160,M007,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-06-14 00:00:00,4.7,1218.19,5.8,424.23,N/A,0.0
ME0161,M006,Injection Molder,unplanned,Tool calibration required after collision incident.,2024-07-27 00:00:00,12.7,4929.58,12.8,1586.01,Contamination from adjacent process,19.2
ME0162,M014,Lathe,emergency,Software crash during cycle. Memory leak identified.,2024-09-23 00:00:00,38.3,7180.38,56.7,2380.15,Insufficient preventive maintenance,53.4
ME0163,M009,Press,unplanned,Control software showing erratic behavior after power fluctuation.,2024-08-29 00:00:00,10.9,3991.12,14.5,1817.21,Environmental conditions (humidity/temperature),13.9
ME0164,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-04-12 00:00:00,5.3,1055.05,6.0,496.15,N/A,0.0
ME0165,M014,Lathe,unplanned,Hydraulic system pressure unstable. Pump showing signs of wear.,2024-11-12 00:00:00,17.4,4781.97,29.7,1479.91,Power quality issue from grid,33.9
ME0166,M007,CNC Mill,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-11-13 00:00:00,21.4,3713.39,38.2,1796.08,Environmental conditions (humidity/temperature),34.0
ME0167,M011,Assembly Line,emergency,Electrical short detected in sensor wiring. Intermittent signal loss.,2024-10-23 00:00:00,26.1,5094.15,30.4,2198.54,Design limitation under high load,46.4
ME0168,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-05-01 00:00:00,2.6,2211.51,3.5,975.4,N/A,0.0
ME0169,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-11-02 00:00:00,5.2,1732.09,6.0,530.47,N/A,0.0
ME0170,M003,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-05-10 00:00:00,6.0,2443.28,6.5,1028.57,N/A,0.0
ME0171,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-11-27 00:00:00,2.1,829.79,2.5,488.11,N/A,0.0
ME0172,M010,Welding Robot,unplanned,Electrical ground fault detected. Safety system activated.,2024-05-31 00:00:00,18.7,3954.76,28.9,1796.25,Environmental conditions (humidity/temperature),31.2
ME0173,M010,Welding Robot,unplanned,Electrical short detected in sensor wiring. Intermittent signal loss.,2024-08-30 00:00:00,22.0,2397.74,35.1,1375.61,Power quality issue from grid,30.1
ME0174,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-10-08 00:00:00,5.3,780.53,9.2,447.02,N/A,0.0
ME0175,M007,CNC Mill,unplanned,PLC communication timeout with HMI. Network diagnostics performed.,2024-02-10 00:00:00,12.3,811.1,15.3,455.21,Power quality issue from grid,19.1
ME0176,M008,Lathe,unplanned,Electrical short detected in sensor wiring. Intermittent signal loss.,2024-01-28 00:00:00,7.3,2259.87,9.1,1123.2,Power quality issue from grid,10.6
ME0177,M008,Lathe,unplanned,Electrical ground fault detected. Safety system activated.,2024-07-13 00:00:00,13.1,1562.23,18.9,623.75,Power quality issue from grid,20.4
ME0178,M012,Injection Molder,unplanned,Motor tripped on overload protection during high-demand cycle.,2024-11-08 00:00:00,15.8,4768.63,18.4,1670.38,Environmental conditions (humidity/temperature),19.4
ME0179,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-04-29 00:00:00,4.1,2009.03,7.5,955.51,N/A,0.0
ME0180,M015,Press,unplanned,Bearing wear pattern abnormal. Misalignment suspected.,2024-10-19 00:00:00,9.4,756.89,18.2,236.0,Environmental conditions (humidity/temperature),12.2
ME0181,M006,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-06-27 00:00:00,2.4,482.45,2.5,166.2,N/A,0.0
ME0182,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-08-04 00:00:00,4.7,289.1,7.8,162.01,N/A,0.0
ME0183,M015,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-10-20 00:00:00,4.1,1020.97,4.7,315.47,N/A,0.0
ME0184,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-01-08 00:00:00,5.8,1899.02,11.3,623.2,N/A,0.0
ME0185,M008,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-06-23 00:00:00,2.9,2417.53,5.0,1333.11,N/A,0.0
ME0186,M010,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-01-26 00:00:00,2.1,799.33,3.9,376.63,N/A,0.0
ME0187,M012,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-01-01 00:00:00,5.2,2317.03,6.3,1153.1,N/A,0.0
ME0188,M005,Assembly Line,unplanned,Motor bearing noise increasing. Vibration analysis shows wear pattern.,2024-03-03 00:00:00,17.2,4997.36,33.9,2109.25,Design limitation under high load,32.5
ME0189,M009,Press,planned,Scheduled preventive maintenance for Press. Routine inspection and lubrication.,2024-04-07 00:00:00,3.2,495.5,4.4,197.26,N/A,0.0
ME0190,M006,Injection Molder,planned,Scheduled preventive maintenance for Injection Molder. Routine inspection and lubrication.,2024-10-05 00:00:00,5.6,2225.26,8.0,1213.54,N/A,0.0
ME0191,M008,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-03-05 00:00:00,4.6,988.86,6.3,414.18,N/A,0.0
ME0192,M005,Assembly Line,planned,Scheduled preventive maintenance for Assembly Line. Routine inspection and lubrication.,2024-08-11 00:00:00,4.2,1592.09,5.8,586.18,N/A,0.0
ME0193,M010,Welding Robot,unplanned,PLC communication timeout with HMI. Network diagnostics performed.,2024-10-08 00:00:00,13.3,2209.04,25.9,1224.14,Operator error during setup,25.6
ME0194,M013,CNC Mill,planned,Scheduled preventive maintenance for CNC Mill. Routine inspection and lubrication.,2024-10-19 00:00:00,3.5,1147.35,4.4,508.29,N/A,0.0
ME0195,M011,Assembly Line,unplanned,PLC communication timeout with HMI. Network diagnostics performed.,2024-04-16 00:00:00,23.1,582.05,23.3,287.67,Environmental conditions (humidity/temperature),44.3
ME0196,M009,Press,unplanned,Bearing seized on drive shaft. Production halted for repair.,2024-11-29 00:00:00,13.6,1375.51,20.2,518.61,Insufficient preventive maintenance,19.4
ME0197,M011,Assembly Line,emergency,Electrical connector corrosion causing connection issues.,2024-05-25 00:00:00,20.5,4869.75,28.6,2887.85,Contamination from adjacent process,38.0
ME0198,M014,Lathe,planned,Scheduled preventive maintenance for Lathe. Routine inspection and lubrication.,2024-06-07 00:00:00,4.7,658.24,8.1,218.58,N/A,0.0
ME0199,M010,Welding Robot,planned,Scheduled preventive maintenance for Welding Robot. Routine inspection and lubrication.,2024-09-19 00:00:00,5.7,1205.19,10.3,496.6,N/A,0.0
ME0200,M013,CNC Mill,unplanned,Bearing wear pattern abnormal. Misalignment suspected.,2024-08-07 00:00:00,16.8,2818.29,20.6,1024.77,Power quality issue from grid,28.3
